,features,importance_vals
467,R-HSA-350562,0.001778487025526374
684,hsa.mir.2114,0.0017777468951180708
576,R-HSA-5339716,0.0017753091846316239
608,hsa.mir.1247,0.0017717468350838318
196,R-HSA-167287,0.0017697054254313116
760,hsa.mir.33a,0.0017668915568458488
178,R-HSA-73980,0.0017597068056056742
274,R-HSA-4086400,0.0017581001124926843
585,hsa.mir.100,0.00175608389210538
187,R-HSA-167160,0.001750225491632591
45,R-HSA-375170,0.0017473033506939827
569,R-HSA-5099900,0.0017395001481600048
1081,hsa.mir.885,0.001735531519639153
253,R-HSA-2032785,0.001726310118319816
596,hsa.mir.1180,0.0017258659207936944
623,hsa.mir.1284,0.0017229069564928068
67,R-HSA-912631,0.0017218825742747867
788,hsa.mir.3690.1,0.0017154872695573432
374,R-HSA-5654693,0.0017153499203959655
730,hsa.mir.3157,0.0017152660054853186
428,R-HSA-192456,0.0017048533975321334
1026,hsa.mir.6761,0.0017028890366535166
452,R-HSA-162710,0.0017020258663796993
489,R-HSA-5656121,0.0017011507826464366
924,hsa.mir.5090,0.0016997697789338418
995,hsa.mir.6508,0.0016967549853143281
1023,hsa.mir.6748,0.0016912566711835097
124,R-HSA-381676,0.0016901307722582714
407,R-HSA-977225,0.0016870586045115489
66,R-HSA-5654733,0.0016810330455973598
478,R-HSA-180024,0.0016786231163951016
644,hsa.mir.149,0.0016735863904017378
597,hsa.mir.1181,0.0016730209917295725
545,R-HSA-1963640,0.0016696675292769214
726,hsa.mir.3150b,0.0016690549536724575
937,hsa.mir.548e,0.0016582902208028827
811,hsa.mir.3940,0.001656603144510882
901,hsa.mir.4797,0.001643961163572385
1088,hsa.mir.93,0.0016415112149115885
28,R-HSA-917977,0.0016410482595529173
156,R-HSA-1445148,0.0016391203765863337
1039,hsa.mir.6802,0.0016254334786208347
931,hsa.mir.545,0.001624981027944159
702,hsa.mir.29b.1,0.0016195185008109547
14,R-HSA-1474228,0.0016193937150228521
171,R-HSA-1834949,0.0016157885288703255
801,hsa.mir.3912,0.0016157209376979154
184,R-HSA-113418,0.0016136790551172452
714,hsa.mir.31,0.0016119587085768217
721,hsa.mir.3130.2,0.0016068091264060057
671,hsa.mir.196a.1,0.0016064459442577572
205,R-HSA-73779,0.0016056075581582262
212,R-HSA-917729,0.0016048059383319923
381,R-HSA-5654706,0.0015997642743604955
847,hsa.mir.454,0.0015929767824309237
657,hsa.mir.182,0.0015903156012427645
755,hsa.mir.329.2,0.0015892108799744164
848,hsa.mir.455,0.0015844015534582923
532,R-HSA-202430,0.0015820105815146236
629,hsa.mir.1301,0.0015807540604509994
463,R-HSA-1236978,0.0015795092884582117
619,hsa.mir.1270,0.001579292560754766
749,hsa.mir.320b.2,0.0015752044880355243
933,hsa.mir.548au,0.0015687272961440613
544,R-HSA-373076,0.0015590936448279535
455,R-HSA-912526,0.001555525484855025
266,R-HSA-2672351,0.0015506738533440513
878,hsa.mir.4741,0.0015506012066907715
642,hsa.mir.147b,0.001546379341998545
552,R-HSA-156588,0.0015451231828956225
287,R-HSA-70171,0.0015438335672297398
692,hsa.mir.2277,0.0015402768922558607
767,hsa.mir.3607,0.0015355218037439045
734,hsa.mir.3173,0.0015333401587585627
177,R-HSA-73863,0.0015315904547242099
161,R-HSA-165054,0.0015270382464223076
71,R-HSA-450385,0.0015243036263927934
639,hsa.mir.1468,0.0015157797364190628
975,hsa.mir.598,0.00151079382097123
991,hsa.mir.6499,0.0014988578705197142
949,hsa.mir.5581,0.0014830079250623385
661,hsa.mir.187,0.0014782660433411365
803,hsa.mir.3913.2,0.001474955203866557
369,R-HSA-5654219,0.0014677260884491262
7,R-HSA-380270,0.0014664222208239154
169,R-HSA-5676590,0.0014663468448725325
1060,hsa.mir.6878,0.0014592936457484028
603,hsa.mir.1229,0.0014500437311653514
1005,hsa.mir.654,0.001449861121659346
963,hsa.mir.5703,0.0014475240099113761
703,hsa.mir.29b.2,0.0014459771048677794
394,R-HSA-379726,0.0014425206305168103
168,R-HSA-5607761,0.0014409255917416887
483,R-HSA-416572,0.0014377475190849509
1017,hsa.mir.6733,0.0014322774502943502
900,hsa.mir.4795,0.0014268582238582894
658,hsa.mir.183,0.0014216859578664298
955,hsa.mir.5687,0.0014215298501540018
323,R-HSA-69656,0.0014181885033394792
1082,hsa.mir.887,0.0014136590871567023
454,R-HSA-512988,0.0014124228268883599
987,hsa.mir.639,0.0014121874399279477
259,R-HSA-5668541,0.0014095405612169999
922,hsa.mir.509.2,0.001408114156620286
826,hsa.mir.4443,0.0014003086394222919
1047,hsa.mir.6818,0.0013937576064927272
838,hsa.mir.449c,0.001390663095517084
70,R-HSA-380994,0.0013892013353688525
114,R-HSA-112043,0.001387833572771342
735,hsa.mir.3174,0.0013859532648712047
591,hsa.mir.105.2,0.001380923986171183
874,hsa.mir.4728,0.0013806026655038294
35,R-HSA-176187,0.0013777620053895135
832,hsa.mir.4470,0.001376873483604868
207,R-HSA-75955,0.0013740426604817912
1049,hsa.mir.6822,0.001368799673509784
592,hsa.mir.106a,0.0013686127853520702
1044,hsa.mir.6812,0.001364497297035996
601,hsa.mir.1227,0.0013551972736604511
1010,hsa.mir.664a,0.0013533472337621789
921,hsa.mir.509.1,0.0013506765998772608
836,hsa.mir.449a,0.0013501906197598147
416,R-HSA-1660499,0.0013373424491965125
920,hsa.mir.508,0.0013373296869394835
864,hsa.mir.4668,0.0013345285298328236
469,R-HSA-4608870,0.0013341119025153602
257,R-HSA-936440,0.00133300731255531
57,R-HSA-983695,0.0013329244561464293
825,hsa.mir.4442,0.0013326284690629109
634,hsa.mir.1343,0.0013311491310014389
476,R-HSA-69481,0.0013302142367206215
750,hsa.mir.320c.1,0.0013270824314167839
914,hsa.mir.5003,0.0013185752140816476
904,hsa.mir.485,0.0013173757928234408
604,hsa.mir.1236,0.00130469624127727
540,R-HSA-428930,0.001303805166262464
1071,hsa.mir.744,0.0013020581220916938
633,hsa.mir.130a,0.0012976492636880721
624,hsa.mir.1288,0.001296992876996228
584,hsa.let.7g,0.0012961943715163215
1029,hsa.mir.6764,0.0012943589438327763
939,hsa.mir.548k,0.0012921381678825128
273,R-HSA-373080,0.001291515698103467
438,R-HSA-2871796,0.0012892455241126299
1070,hsa.mir.7156,0.001281679473065651
1024,hsa.mir.6755,0.00128044071834438
1001,hsa.mir.6513,0.0012739590017008596
404,R-HSA-427359,0.0012713097450250644
998,hsa.mir.6510,0.0012709063541751675
526,R-HSA-5617833,0.0012698606074263807
791,hsa.mir.375,0.0012608761394267275
626,hsa.mir.1292,0.0012599857401073677
1015,hsa.mir.6730,0.0012588800814410206
717,hsa.mir.3126,0.0012580022898328025
309,R-HSA-1368108,0.00125250508361205
620,hsa.mir.1271,0.0012504492160769587
793,hsa.mir.376a.2,0.0012308252080310922
679,hsa.mir.20a,0.0012287245952956028
26,R-HSA-381038,0.0012287189184098679
333,R-HSA-6788467,0.001226650234407316
913,hsa.mir.5001,0.0012229151002884464
267,R-HSA-3772470,0.0012227736656132038
879,hsa.mir.4742,0.001220372154517122
672,hsa.mir.196a.2,0.0012126919312868266
772,hsa.mir.363,0.0012100773049860435
405,R-HSA-5625886,0.0012071566329177586
1067,hsa.mir.6895,0.0012044142883678433
486,R-HSA-110320,0.0012008010714453122
940,hsa.mir.548o,0.0011991743792896159
637,hsa.mir.142,0.0011944716967627756
1031,hsa.mir.6774,0.0011925021710339934
1050,hsa.mir.6833,0.0011829552853669157
240,R-HSA-400206,0.0011822017290251097
